policy,n,median_s,q1_s,q3_s,peak_rss_mb
fcfs,1000,8.5e-05,8.4e-05,8.8e-05,1.78125
sjf,1000,9.9e-05,9.7e-05,0.0001,1.78125
srtf,1000,0.000119,0.000117,0.000121,1.78125
rr,1000,0.000149,0.000148,0.000151,1.828125
prio,1000,0.000216,0.000216,0.000222,1.828125
prio-p,1000,0.001342,0.001341,0.001352,1.875
hrrn,1000,0.000126,0.000125,0.000127,1.875
mlfq,1000,0.00017,0.000169,0.00017,1.859375
lottery,1000,0.000299,0.000297,0.000304,1.828125
stride,1000,0.000241,0.000239,0.000241,1.828125
cfs,1000,0.000201,0.0002,0.000205,1.8125
fcfs,10000,0.000698,0.000698,0.000707,3.484375
sjf,10000,0.000833,0.000831,0.000843,3.421875
srtf,10000,0.001045,0.001041,0.001045,3.546875
rr,10000,0.001362,0.001361,0.001381,4.03125
prio,10000,0.002032,0.00203,0.00204,4.234375
prio-p,10000,0.014306,0.0143,0.014349,4.734375
hrrn,10000,0.001114,0.001109,0.001124,4.34375
mlfq,10000,0.001529,0.001528,0.001533,4.65625
lottery,10000,0.003138,0.003137,0.003142,4.296875
stride,10000,0.002155,0.002152,0.00217,4.21875
cfs,10000,0.001776,0.001765,0.001781,4.0
fcfs,100000,0.00757,0.007295,0.007622,22.359375
sjf,100000,0.00885,0.008746,0.00894,21.609375
srtf,100000,0.010883,0.010841,0.010884,22.828125
rr,100000,0.014156,0.01402,0.014197,27.796875
prio,100000,0.020922,0.020544,0.021595,27.734375
prio-p,100000,0.14864,0.148629,0.148953,32.453125
hrrn,100000,0.011417,0.011369,0.011477,26.625
mlfq,100000,0.015834,0.015727,0.015861,31.765625
lottery,100000,0.035253,0.03446,0.035388,28.078125
stride,100000,0.02221,0.021939,0.022403,27.4375
cfs,100000,0.018136,0.017883,0.018225,25.234375
fcfs,1000000,0.076483,0.076309,0.077023,205.546875
sjf,1000000,0.089482,0.089434,0.091491,197.90625
srtf,1000000,0.110987,0.110941,0.111355,209.875
rr,1000000,0.144114,0.143488,0.144486,260.0625
prio,1000000,0.226235,0.225698,0.227269,259.109375
prio-p,1000000,1.609696,1.604706,1.61668,306.828125
hrrn,1000000,0.119899,0.119773,0.120301,238.109375
mlfq,1000000,0.163994,0.163955,0.165615,299.578125
lottery,1000000,0.422337,0.415338,0.423835,263.234375
stride,1000000,0.228469,0.2278,0.228599,256.5625
cfs,1000000,0.190298,0.188302,0.190664,234.53125
