policy,n,median_s,q1_s,q3_s,peak_rss_mb
fcfs,1000,7.3e-05,7.3e-05,7.4e-05,1.71875
sjf,1000,0.000151,0.000149,0.000154,1.71875
srtf,1000,0.000224,0.000222,0.000224,1.78125
rr,1000,0.00015,0.000149,0.00015,1.828125
prio,1000,0.000391,0.000388,0.000398,1.765625
prio-p,1000,0.003723,0.003721,0.003733,1.90625
hrrn,1000,0.000225,0.000225,0.000226,1.8125
mlfq,1000,0.000168,0.000167,0.000168,1.875
lottery,1000,0.000312,0.000311,0.000312,1.84375
stride,1000,0.000401,0.0004,0.000405,1.828125
cfs,1000,0.000448,0.000448,0.000449,1.859375
fcfs,10000,0.000651,0.000637,0.000655,3.453125
sjf,10000,0.001811,0.001808,0.001811,3.390625
srtf,10000,0.002833,0.002829,0.00284,3.46875
rr,10000,0.00138,0.001378,0.001384,4.046875
prio,10000,0.004603,0.0046,0.004612,4.21875
prio-p,10000,0.045277,0.045072,0.045337,6.1875
hrrn,10000,0.002693,0.002691,0.002698,4.328125
mlfq,10000,0.001511,0.001509,0.001516,4.703125
lottery,10000,0.003672,0.00367,0.003679,4.4375
stride,10000,0.004974,0.004964,0.004978,4.328125
cfs,10000,0.005555,0.005554,0.005603,5.546875
fcfs,100000,0.006693,0.006674,0.006703,22.078125
sjf,100000,0.023315,0.023312,0.02352,21.5
srtf,100000,0.036198,0.036138,0.036449,22.25
rr,100000,0.014179,0.014164,0.014224,27.984375
prio,100000,0.057672,0.057578,0.057707,27.484375
prio-p,100000,0.583669,0.583364,0.584827,36.90625
hrrn,100000,0.03522,0.035148,0.035465,26.34375
mlfq,100000,0.015616,0.01558,0.015642,32.296875
lottery,100000,0.05384,0.053571,0.055242,29.515625
stride,100000,0.064693,0.064564,0.06475,28.359375
cfs,100000,0.075111,0.074994,0.075787,30.734375
fcfs,1000000,0.070078,0.069976,0.070173,202.8125
sjf,1000000,0.323404,0.322146,0.323509,196.625
srtf,1000000,0.482461,0.481169,0.483002,204.375
rr,1000000,0.167351,0.16577,0.168161,261.875
prio,1000000,0.781597,0.780386,0.782601,256.390625
prio-p,1000000,7.913149,7.90655,7.919099,338.84375
hrrn,1000000,0.4918,0.491171,0.492422,235.40625
mlfq,1000000,0.177605,0.177192,0.179349,305.015625
lottery,1000000,1.188746,1.188535,1.199301,277.171875
stride,1000000,1.217817,1.217047,1.22071,265.5625
cfs,1000000,1.638018,1.634868,1.642322,289.546875
