distribution,policy,mean_turnaround,p99_turnaround,mean_response,jain_fairness_slowdown
exp,fcfs,44.5730,205.0000,35.0300,0.2368
exp,sjf,26.5360,199.0000,16.9930,0.3550
exp,srtf,21.1300,248.0000,7.8595,0.6382
exp,rr,41.7675,266.0000,10.3425,0.4802
exp,prio,42.2180,385.0000,32.6750,0.0980
exp,prio-p,41.8590,403.0000,25.3155,0.0761
exp,hrrn,31.7140,179.0000,22.1710,0.4521
exp,mlfq,41.1435,330.0000,0.1785,0.5189
exp,lottery,43.1425,350.0000,13.0215,0.1604
exp,stride,41.4165,386.0000,2.5250,0.4799
exp,cfs,41.4235,448.0000,8.8425,0.3721
uniform,fcfs,71.3450,232.0000,61.2780,0.2248
uniform,sjf,46.8820,839.0000,36.8150,0.2317
uniform,srtf,45.5090,839.0000,33.3230,0.1694
uniform,rr,92.1855,444.0000,27.3605,0.4488
uniform,prio,67.0950,923.0000,57.0280,0.0576
uniform,prio-p,71.0710,948.0000,50.6100,0.0536
uniform,hrrn,58.4250,275.0000,48.3580,0.6053
uniform,mlfq,111.6425,679.0000,0.2175,0.4236
uniform,lottery,90.6860,686.0000,29.6955,0.1998
uniform,stride,104.3025,867.0000,3.7435,0.3513
uniform,cfs,93.3715,1195.0000,9.2550,0.1942
bimodal,fcfs,232.0355,625.0000,221.5730,0.4255
bimodal,sjf,60.6635,579.0000,50.2010,0.3031
bimodal,srtf,30.6565,571.0000,11.9485,0.5959
bimodal,rr,90.5240,943.0000,25.7435,0.5164
bimodal,prio,277.5880,3508.0000,267.1255,0.1114
bimodal,prio-p,240.3995,3633.0000,216.8295,0.0840
bimodal,hrrn,78.2465,575.0000,67.7840,0.4169
bimodal,mlfq,70.2000,1013.0000,0.1480,0.3560
bimodal,lottery,94.7860,1090.0000,33.2070,0.2003
bimodal,stride,75.3420,1143.0000,2.7315,0.3838
bimodal,cfs,102.9600,1802.0000,12.5180,0.2326
pareto,fcfs,149.1545,1238.0000,140.0185,0.1739
pareto,sjf,61.5245,808.0000,52.3885,0.1222
pareto,srtf,18.2615,187.0000,4.1700,0.7920
pareto,rr,37.5165,296.0000,9.5400,0.6428
pareto,prio,108.9965,1858.0000,99.8605,0.0841
pareto,prio-p,70.1150,1929.0000,55.7665,0.0442
pareto,hrrn,74.6980,732.0000,65.5620,0.1900
pareto,mlfq,31.2580,299.0000,0.2000,0.5955
pareto,lottery,40.5250,333.0000,13.4875,0.3158
pareto,stride,34.6030,304.0000,2.6195,0.4785
pareto,cfs,44.1985,416.0000,8.2665,0.2152
