cs_cost,quantum,mean_turnaround,mean_response,switch_fraction
0,1,107.930,8.506,0.0000
0,2,112.045,17.135,0.0000
0,3,116.277,25.386,0.0000
0,4,120.416,33.483,0.0000
0,6,129.622,48.728,0.0000
0,8,137.259,62.711,0.0000
0,12,154.098,87.740,0.0000
0,16,170.308,109.441,0.0000
0,24,196.382,146.922,0.0000
0,32,217.539,175.155,0.0000
0,48,244.670,212.940,0.0000
0,64,263.771,239.515,0.0000
0,128,291.030,277.142,0.0000
1,1,1870.574,203.726,0.4922
1,2,1050.490,195.064,0.3380
1,3,811.359,208.705,0.2654
1,4,691.272,221.696,0.2225
1,6,595.254,251.872,0.1774
1,8,541.845,274.195,0.1517
1,12,522.251,321.194,0.1274
1,16,527.770,364.101,0.1149
1,24,546.514,428.471,0.1023
1,32,568.248,477.194,0.0958
1,48,603.782,544.577,0.0897
1,64,627.085,585.703,0.0865
1,128,664.393,647.381,0.0833
2,1,3937.127,468.525,0.6637
2,2,2131.134,441.475,0.5081
2,3,1563.993,430.167,0.4219
2,4,1304.692,436.265,0.3656
2,6,1106.807,479.742,0.3023
2,8,998.865,516.999,0.2641
2,12,950.926,594.275,0.2267
2,16,952.216,667.252,0.2066
2,24,970.895,769.673,0.1860
2,32,1005.484,851.729,0.1752
2,48,1048.578,953.337,0.1651
2,64,1076.715,1014.217,0.1597
2,128,1126.882,1106.258,0.1543
