instance,n,fcfs_gap_pct,sjf_gap_pct,hrrn_gap_pct
0,8,10.1796,0.0000,3.5928
1,7,10.3448,2.0690,4.1379
2,8,15.1163,0.0000,6.9767
3,8,12.8866,0.0000,2.0619
4,7,16.1538,0.0000,2.3077
5,7,16.6667,0.0000,13.3333
6,4,10.4167,10.4167,10.4167
7,8,35.4260,8.0717,13.0045
8,10,30.4348,3.2609,17.3913
9,7,9.7826,0.0000,6.5217
10,6,18.9655,17.2414,17.2414
11,6,1.5873,0.0000,1.5873
12,9,35.3535,5.0505,23.7374
13,7,11.4035,0.0000,7.8947
14,5,9.0909,0.0000,9.0909
15,8,33.1933,0.0000,7.5630
16,5,62.5000,0.0000,59.3750
17,5,2.5641,0.0000,2.5641
18,10,49.2462,0.0000,28.1407
19,4,23.2558,0.0000,0.0000
20,6,8.1818,5.4545,6.3636
21,10,57.2165,17.0103,25.2577
22,6,21.6867,0.0000,6.0241
23,10,45.8824,18.2353,18.2353
24,7,30.8411,0.0000,5.6075
25,10,34.4828,0.0000,5.7471
26,8,20.7071,0.0000,2.5253
27,9,32.0988,0.0000,11.9342
28,8,28.8660,0.0000,12.3711
29,6,27.4194,0.0000,27.4194
30,6,24.6377,0.0000,0.0000
31,10,29.5019,0.0000,2.6820
32,6,5.7971,0.0000,0.0000
33,6,5.8824,3.2680,3.9216
34,5,5.6818,0.0000,5.6818
35,5,15.8537,0.0000,15.8537
36,9,31.4516,0.0000,6.4516
37,7,57.7982,0.0000,41.2844
38,7,25.8065,3.2258,24.1935
39,5,75.5556,48.8889,53.3333
40,4,9.0909,9.0909,9.0909
41,9,61.4865,2.7027,18.9189
42,6,30.1075,0.0000,8.6022
43,7,24.2991,0.0000,3.7383
44,10,55.8511,0.0000,31.3830
45,7,26.6667,0.0000,8.0000
46,10,33.0882,0.0000,9.9265
47,7,13.9394,0.0000,12.1212
48,10,48.9691,24.2268,25.2577
49,9,8.6022,0.0000,2.1505
50,5,10.3896,0.0000,2.5974
51,6,23.3645,0.0000,13.0841
52,5,20.3883,10.6796,11.6505
53,4,0.0000,0.0000,0.0000
54,10,9.6639,0.0000,4.2017
55,6,1.1050,0.0000,1.1050
56,5,0.0000,0.0000,0.0000
57,5,48.2759,24.1379,24.1379
58,5,14.7059,0.0000,0.0000
59,9,26.4706,7.6471,14.7059
60,4,8.8235,0.0000,0.0000
61,8,12.9944,0.0000,6.2147
62,5,17.1429,0.0000,2.8571
63,6,15.4762,3.5714,3.5714
64,10,30.3502,0.0000,7.7821
65,5,9.7561,0.0000,0.0000
66,5,7.8740,0.0000,1.5748
67,6,0.9009,0.0000,0.9009
68,5,16.3934,0.0000,0.0000
69,6,14.2857,14.2857,14.2857
70,9,45.4545,20.2020,24.2424
71,8,35.7143,0.0000,8.9286
72,10,35.8306,1.6287,5.5375
73,7,20.8122,0.0000,6.0914
74,10,41.0000,0.0000,11.0000
75,6,6.9767,4.6512,6.9767
76,4,0.0000,0.0000,0.0000
77,6,5.3763,0.0000,3.2258
78,6,11.0294,0.0000,6.6176
79,10,28.7356,0.7663,6.5134
80,6,12.9032,0.0000,0.0000
81,6,6.4815,0.0000,6.4815
82,9,46.6667,0.5556,6.6667
83,8,21.5385,20.0000,21.5385
84,7,38.1944,11.1111,15.2778
85,10,44.3243,0.0000,5.4054
86,10,24.8731,0.0000,1.5228
87,5,6.5217,0.0000,6.5217
88,4,11.2676,0.0000,0.0000
89,7,6.3492,4.7619,4.7619
90,5,23.0769,0.0000,15.3846
91,5,28.7879,0.0000,28.7879
92,7,20.0000,0.0000,7.3684
93,5,19.4444,0.0000,19.4444
94,5,0.0000,0.0000,0.0000
95,9,30.7692,0.0000,22.1154
96,8,37.1257,0.5988,28.1437
97,5,0.0000,0.0000,0.0000
98,4,0.0000,0.0000,0.0000
99,8,19.4245,12.9496,15.1079
100,9,14.0187,4.6729,4.6729
101,5,12.0000,0.0000,12.0000
102,6,27.2727,0.0000,5.1948
103,5,0.0000,0.0000,0.0000
104,9,25.0000,0.0000,11.2805
105,9,43.1507,0.0000,16.4384
106,9,64.2487,0.0000,14.5078
107,5,12.5000,12.5000,12.5000
108,7,20.1613,0.0000,5.6452
109,9,30.1020,0.0000,18.3673
110,5,10.2041,2.0408,10.2041
111,8,20.5357,0.0000,9.8214
112,8,13.1148,0.0000,1.6393
113,10,21.5311,0.0000,6.6986
114,4,0.0000,0.0000,0.0000
115,6,30.6452,0.0000,4.8387
116,10,34.4828,4.2146,6.1303
117,6,41.7582,2.1978,6.5934
118,4,51.2195,0.0000,51.2195
119,10,34.1085,3.4884,11.2403
120,9,21.2996,2.1661,6.8592
121,5,0.0000,0.0000,0.0000
122,6,16.9492,0.0000,1.6949
123,4,8.4507,0.0000,0.0000
124,6,10.6557,0.0000,0.0000
125,10,3.9568,0.0000,0.7194
126,4,25.0000,9.3750,25.0000
127,5,5.2632,0.0000,5.2632
